,Player,2023/24,2023/24(*)
489.,Oscar Tshiebwe,"$559,782","$559,782"
489.,Moussa Diabate,"$559,782","$559,782"
489.,Jordan Miller,"$559,782","$559,782"
489.,Colin Castleton,"$559,782","$559,782"
489.,Cole Swider,"$559,782","$559,782"
489.,Jamal Cain,"$559,782","$559,782"
489.,Jaylen Clark,"$559,782","$559,782"
489.,Daishen Nix,"$559,782","$559,782"
489.,Dereon Seabron,"$559,782","$559,782"
489.,Charlie Brown,"$559,782","$559,782"
489.,Keyontae Johnson,"$559,782","$559,782"
489.,Olivier Sarr,"$559,782","$559,782"
489.,Kevon Harris,"$559,782","$559,782"
489.,Trevelin Queen,"$559,782","$559,782"
489.,Admiral Schofield,"$559,782","$559,782"
489.,Terquavion Smith,"$559,782","$559,782"
489.,Saben Lee,"$559,782","$559,782"
489.,Udoka Azubuike,"$559,782","$559,782"
489.,Theo Maledon,"$559,782","$559,782"
489.,Justin Minaya,"$559,782","$559,782"
489.,Jalen Slawson,"$559,782","$559,782"
489.,Jordan Ford,"$559,782","$559,782"
489.,Filip Petrusev,"$559,782","$559,782"
489.,Markquis Nowell,"$559,782","$559,782"
489.,Johnny Juzang,"$559,782","$559,782"
489.,Micah Potter,"$559,782","$559,782"
533.,Malik Fitts,"$555,217","$555,217"
534.,Marques Bolden,"$502,131","$502,131"
535.,Onuralp Bitim,"$500,000","$500,000"
536.,Xavier Moon,"$489,005","$489,005"
537.,Isaiah Thomas,"$477,630","$477,630"
538.,Ibou Badji,"$466,485","$466,485"
539.,Juan Toscano-Anderson,"$447,931","$447,931"
540.,Duane Washington Jr,"$443,965","$443,965"
541.,Jules Bernard,"$415,011","$415,011"
542.,Jontay Porter,"$411,794","$411,794"
543.,Jaylen Nowell,"$398,160","$398,160"
544.,Drew Peterson,"$395,708","$395,708"
544.,Nathan Mensah,"$395,708","$395,708"
544.,David Duke,"$395,708","$395,708"
547.,Henri Drell,"$389,274","$389,274"
548.,Alex Fudge,"$376,405","$376,405"
549.,Vit Krejci,"$369,971","$369,971"
550.,Brandon Williams,"$350,668","$350,668"
551.,Trey Jemison,"$341,017","$341,017"
552.,Jason Preston,"$315,280","$315,280"
553.,Nerlens Noel,"$300,000","$300,000"
554.,Tosan Evbuomwan,"$295,977","$295,977"
555.,Scottie Pippen Jr,"$289,542","$289,542"
556.,Malcolm Hill,"$286,583","$286,583"
557.,Ashton Hagans,"$270,841","$270,841"
558.,Jeff Dowtin,"$269,237","$269,237"
559.,Didi Louzada,"$268,032","$268,032"
560.,Javonte Green,"$261,293","$261,293"
561.,Justin Champagnie,"$254,412","$254,412"
562.,Jaylen Martin,"$249,766","$249,766"
563.,Pete Nance,"$244,503","$244,503"
564.,Lindell Wigginton,"$244,502","$244,502"
565.,Armoni Brooks,"$241,285","$241,285"
565.,D'Moi Hodge,"$241,285","$241,285"
567.,Jahmi'us Ramsey,"$232,150","$232,150"
568.,Charles Bediako,"$215,548","$215,548"
569.,Dexter Dennis,"$212,331","$212,331"
569.,Alondes Williams,"$212,331","$212,331"
569.,Mason Jones,"$212,331","$212,331"
572.,DeJon Jarreau,"$207,100","$207,100"
572.,Zavier Simpson,"$207,100","$207,100"
574.,Adam Flagler,"$205,897","$205,897"
574.,DJ Carton,"$205,897","$205,897"
576.,Danny Green,"$202,074","$202,074"
577.,Mouhamadou Gueye,"$199,463","$199,463"
578.,Ja'Vonte Smart,"$196,245","$196,245"
579.,Miles Norris,"$193,028","$193,028"
580.,Justin Lewis,"$173,725","$173,725"
581.,Jamaree Bouyea,"$170,801","$170,801"
582.,Pat Spencer,"$170,508","$170,508"
583.,Buddy Boeheim,"$167,291","$167,291"
583.,Sir'Jabari Rice,"$167,291","$167,291"
585.,Justise Winslow,"$166,176","$166,176"
586.,Nathan Knight,"$160,857","$160,857"
586.,Andrew Funk,"$160,857","$160,857"
588.,Ron Harper Jr,"$147,988","$147,988"
588.,John Butler,"$147,988","$147,988"
590.,Shaquille Harrison,"$145,301","$145,301"
590.,Justin Jackson,"$145,301","$145,301"
592.,Jaylin Galloway,"$141,554","$141,554"
592.,RaiQuan Gray,"$141,554","$141,554"
594.,Quenton Jackson,"$135,120","$135,120"
595.,DJ Wilson,"$134,863","$134,863"
595.,Hamidou Diallo,"$134,863","$134,863"
597.,Matthew Hurt,"$128,686","$128,686"
598.,Maozinha Pereira,"$128,685","$128,685"
599.,Wenyen Gabriel,"$124,425","$124,425"
600.,Kobi Simmons,"$120,250","$120,250"
601.,Zhaire Smith,"$116,075","$116,075"
602.,Sharife Cooper,"$103,550","$103,550"
603.,Demetrius Jackson,"$92,857","$92,857"
604.,Malik Williams,"$77,212","$77,212"
605.,Omari Moore,"$75,000","$75,000"
606.,Taze Moore,"$70,687","$70,687"
607.,Timmy Allen,"$64,343","$64,343"
607.,Jalen Crutcher,"$64,343","$64,343"
607.,Izaiah Brockington,"$64,343","$64,343"
607.,Taevion Kinsey,"$64,343","$64,343"
611.,Edmond Sumner,"$40,459","$40,459"
612.,Kaiser Gates,"$35,389","$35,389"
