Team,Total Salaries
Dallas Wings,1470002.0
Connecticut Sun,1463200.0
Las Vegas Aces,1463200.0
Minnesota Lynx,1463179.0
New York Liberty,1463167.0
Seattle Storm,1462496.0
Phoenix Mercury,1462487.0
Atlanta Dream,1450114.0
Washington Mystics,1424013.0
Los Angeles Sparks,1412887.0
Indiana Fever,1396695.0
Chicago Sky,1329477.0
