,Player,2023/24
162,Scoot Henderson,"$9,770,904"
163,Nicolas Claxton,"$9,625,000"
164,Royce O'Neale,"$9,500,000"
165,Alex Caruso,"$9,460,000"
166,Victor Oladipo,"$9,450,000"
167,Pat Connaughton,"$9,423,869"
168,Cameron Payne,"$9,391,467"
169,Jabari Smith,"$9,326,520"
170,Isaiah Hartenstein,"$9,245,121"
171,Kyle Anderson,"$9,219,512"
172,Daniel Theis,"$9,108,387"
173,Thaddeus Young,"$9,010,371"
174,Grayson Allen,"$8,925,000"
175,Isaac Okoro,"$8,920,794"
176,Evan Mobley,"$8,882,640"
177,Amen Thompson,"$8,809,284"
178,Georges Niang,"$8,800,000"
179,Gary Payton II,"$8,715,000"
180,TJ McConnell,"$8,700,000"
181,Keegan Murray,"$8,409,000"
182,Delon Wright,"$8,195,122"
183,Onyeka Okongwu,"$8,109,063"
184,Scottie Barnes,"$8,008,680"
185,Jock Landale,"$8,000,000"
186,Jeff Green,"$8,000,000"
187,Moritz Wagner,"$8,000,000"
188,De'Anthony Melton,"$8,000,000"
189,Trey Lyles,"$8,000,000"
190,Ausar Thompson,"$7,977,420"
191,Miles Bridges,"$7,921,300"
192,Danilo Gallinari,"$7,850,062"
193,Vasilije Micic,"$7,723,000"
194,Paul Reed,"$7,723,000"
195,Zach Collins,"$7,700,000"
196,Jaden Ivey,"$7,614,480"
197,Cody Martin,"$7,560,000"
198,Patrick Mills,"$7,537,766"
199,Kevon Looney,"$7,500,000"
200,Killian Hayes,"$7,413,955"
201,Jalen Suggs,"$7,252,080"
202,Anthony Black,"$7,245,480"
203,Jae'Sean Tate,"$7,000,000"
204,Khem Birch,"$6,985,000"
205,Bennedict Mathurin,"$6,916,080"
206,Obi Toppin,"$6,803,012"
207,Caleb Martin,"$6,802,950"
208,Cedi Osman,"$6,718,842"
209,Bilal Coulibaly,"$6,614,256"
210,Josh Giddey,"$6,587,040"
211,Ayo Dosunmu,"$6,481,482"
212,Rudy Gay,"$6,479,000"
213,Sasha Vezenkov,"$6,341,464"
214,Shaedon Sharpe,"$6,313,800"
215,Otto Porter,"$6,300,000"
216,Deni Avdija,"$6,263,188"
217,Nassir Little,"$6,250,000"
218,Bismack Biyombo,"$6,194,075"
219,Jevon Carter,"$6,190,476"
220,Kenrich Williams,"$6,175,000"
221,Jarace Walker,"$6,059,460"
222,Jonathan Kuminga,"$6,012,840"
223,Devin Vassell,"$5,887,899"
224,Tyrese Haliburton,"$5,808,435"
225,Dyson Daniels,"$5,784,120"
226,Kira Lewis,"$5,722,116"
227,Dean Wade,"$5,709,877"
228,Aaron Nesmith,"$5,634,257"
229,Aleksej Pokusevski,"$5,574,809"
230,Taylor Hendricks,"$5,569,872"
231,Shake Milton,"$5,552,938"
232,JaVale McGee,"$5,544,772"
233,Cole Anthony,"$5,539,771"
234,Franz Wagner,"$5,508,720"
